antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({356}),frozenset({2571}),0.521311475409836,0.43278688524590164,0.2901639344262295,0.5566037735849058,1.2860920526014867,0.06454716474066113,1.2792465992326478
frozenset({593}),frozenset({2571}),0.4426229508196721,0.43278688524590164,0.2459016393442623,0.5555555555555556,1.2836700336700337,0.05434023112066649,1.2762295081967214
frozenset({296}),frozenset({47}),0.47540983606557374,0.31311475409836065,0.2639344262295082,0.5551724137931034,1.7730637299151473,0.11507659231389411,1.5441606303215147
frozenset({2571}),frozenset({1198}),0.43278688524590164,0.319672131147541,0.23934426229508196,0.553030303030303,1.7299922299922297,0.1009943563558183,1.5220894692970268
frozenset({296}),frozenset({110}),0.47540983606557374,0.36721311475409835,0.26229508196721313,0.5517241379310346,1.5024630541871924,0.08771835528083852,1.411601513240858
"frozenset({356, 318})",frozenset({2959}),0.3655737704918033,0.34262295081967215,0.20163934426229507,0.5515695067264573,1.6098440148475548,0.07638538027411984,1.465950819672131
frozenset({318}),frozenset({2571}),0.5131147540983606,0.43278688524590164,0.2819672131147541,0.549520766773163,1.2697260141349598,0.05989787691480786,1.2591326589931406
frozenset({260}),"frozenset({1210, 2571})",0.3918032786885246,0.2360655737704918,0.21475409836065573,0.5481171548117154,2.3218851696885165,0.12226283257188926,1.6905585913782633
frozenset({260}),frozenset({589}),0.3918032786885246,0.3540983606557377,0.21475409836065573,0.5481171548117154,1.5479234464590113,0.07601719967750603,1.4293564055859136
frozenset({2571}),frozenset({1210}),0.43278688524590164,0.30491803278688523,0.2360655737704918,0.5454545454545454,1.7888563049853372,0.10410104810534804,1.5291803278688523
frozenset({110}),"frozenset({593, 356})",0.36721311475409835,0.30983606557377047,0.2,0.5446428571428572,1.757842025699169,0.0862241332975007,1.5156541305046614
frozenset({110}),frozenset({150}),0.36721311475409835,0.3081967213114754,0.2,0.5446428571428572,1.7671922492401217,0.08682612201021232,1.519254259080682
frozenset({593}),"frozenset({356, 318})",0.4426229508196721,0.3655737704918033,0.24098360655737705,0.5444444444444445,1.4892874937717988,0.07917226552002149,1.392642942822871
frozenset({2571}),frozenset({4993}),0.43278688524590164,0.30327868852459017,0.23442622950819672,0.5416666666666666,1.786036036036036,0.10317119054017737,1.5201192250372577
frozenset({296}),"frozenset({593, 318})",0.47540983606557374,0.31475409836065577,0.2573770491803279,0.5413793103448277,1.7200071839080462,0.10773985487772106,1.494145199063232
frozenset({296}),frozenset({50}),0.47540983606557374,0.3262295081967213,0.2573770491803279,0.5413793103448277,1.6595044186449492,0.10228433216877186,1.4691236287439915
frozenset({356}),frozenset({110}),0.521311475409836,0.36721311475409835,0.28032786885245903,0.5377358490566039,1.4643699460916446,0.0888954582101586,1.3688859150217467
frozenset({593}),frozenset({260}),0.4426229508196721,0.3918032786885246,0.23770491803278687,0.537037037037037,1.3706803037346968,0.06428379467884976,1.3137049180327867
frozenset({593}),frozenset({110}),0.4426229508196721,0.36721311475409835,0.2360655737704918,0.5333333333333333,1.4523809523809523,0.07352862133834992,1.3559718969555035
frozenset({593}),frozenset({480}),0.4426229508196721,0.3622950819672131,0.2360655737704918,0.5333333333333333,1.4720965309200604,0.07570545552270896,1.3665105386416863
frozenset({260}),"frozenset({1196, 356})",0.3918032786885246,0.22459016393442624,0.2081967213114754,0.5313807531380753,2.366001893534496,0.12020155872077397,1.6546692037470727
frozenset({260}),"frozenset({1210, 2571, 1196})",0.3918032786885246,0.21639344262295082,0.20655737704918034,0.5271966527196653,2.4362875618105746,0.12177371674281108,1.6573625417089803
frozenset({318}),"frozenset({296, 356})",0.5131147540983606,0.34590163934426227,0.27049180327868855,0.5271565495207668,1.5240070862922646,0.0930045686643376,1.3833296411165268
frozenset({593}),frozenset({589}),0.4426229508196721,0.3540983606557377,0.23278688524590163,0.5259259259259259,1.4852537722908095,0.07605482397205052,1.3624487704918031
frozenset({593}),frozenset({47}),0.4426229508196721,0.31311475409836065,0.23278688524590163,0.5259259259259259,1.6796587163079308,0.09419510884170923,1.4488985655737705
frozenset({296}),"frozenset({593, 356})",0.47540983606557374,0.30983606557377047,0.24918032786885247,0.5241379310344828,1.6916621054552092,0.10188121472722389,1.4503444998812072
frozenset({260}),frozenset({480}),0.3918032786885246,0.3622950819672131,0.20491803278688525,0.5230125523012552,1.4436093072568583,0.06296963181940338,1.336942766752948
frozenset({260}),frozenset({1}),0.3918032786885246,0.33934426229508197,0.20491803278688525,0.5230125523012552,1.5412447193418632,0.07196183821553345,1.3850589588725912
frozenset({296}),frozenset({480}),0.47540983606557374,0.3622950819672131,0.24754098360655738,0.5206896551724138,1.4371976907473867,0.07530233808116099,1.330463498054016
frozenset({2571}),frozenset({7153}),0.43278688524590164,0.28852459016393445,0.22459016393442624,0.5189393939393939,1.7985967630853992,0.09972050524052674,1.4789725054859946
frozenset({356}),"frozenset({296, 318})",0.521311475409836,0.3475409836065574,0.27049180327868855,0.518867924528302,1.4929690281238879,0.08931470034936848,1.3560912889746066
frozenset({260}),frozenset({858}),0.3918032786885246,0.2983606557377049,0.20327868852459016,0.5188284518828452,1.7389305255414043,0.0863800053748992,1.4581895937277263
frozenset({593}),frozenset({527}),0.4426229508196721,0.34098360655737703,0.22950819672131148,0.5185185185185185,1.5206552706552707,0.07858102660575117,1.3687263556116014
frozenset({296}),frozenset({589}),0.47540983606557374,0.3540983606557377,0.2459016393442623,0.5172413793103449,1.4607279693486592,0.07755979575382962,1.3379391100702576
frozenset({296}),frozenset({2959}),0.47540983606557374,0.34262295081967215,0.2459016393442623,0.5172413793103449,1.5096518726282793,0.08301531846277882,1.3617096018735364
frozenset({2571}),frozenset({2858}),0.43278688524590164,0.31475409836065577,0.22295081967213115,0.5151515151515151,1.6366792929292928,0.08672937382424079,1.4133196721311474
frozenset({260}),frozenset({2959}),0.3918032786885246,0.34262295081967215,0.20163934426229507,0.5146443514644351,1.502072030589978,0.06739854877721041,1.3544234030525721
frozenset({260}),"frozenset({296, 1196})",0.3918032786885246,0.21475409836065573,0.20163934426229507,0.5146443514644351,2.3964355297198887,0.11749798441279224,1.61787733182589
frozenset({2571}),frozenset({2762}),0.43278688524590164,0.2721311475409836,0.22131147540983606,0.5113636363636364,1.8791073384446877,0.10353668368718086,1.4895920701486849
frozenset({2571}),"frozenset({356, 318})",0.43278688524590164,0.3655737704918033,0.22131147540983606,0.5113636363636364,1.3987973909498572,0.06309594195108842,1.298360655737705
frozenset({318}),frozenset({527}),0.5131147540983606,0.34098360655737703,0.26229508196721313,0.5111821086261982,1.4991398377979852,0.08733136253695248,1.3481838637094186
frozenset({260}),frozenset({2028}),0.3918032786885246,0.3,0.2,0.5104602510460251,1.701534170153417,0.08245901639344264,1.4299145299145297
frozenset({260}),"frozenset({593, 1196})",0.3918032786885246,0.21639344262295082,0.2,0.5104602510460251,2.3589450995308736,0.11521633969363075,1.6007005744710663
frozenset({260}),"frozenset({2571, 1198})",0.3918032786885246,0.23934426229508196,0.2,0.5104602510460251,2.1327448845073653,0.10622413329750069,1.5538181308673111
frozenset({318}),frozenset({110}),0.5131147540983606,0.36721311475409835,0.260655737704918,0.5079872204472844,1.383358055682337,0.07223327062617577,1.2861187992335534
frozenset({2571}),"frozenset({296, 356})",0.43278688524590164,0.34590163934426227,0.21967213114754097,0.5075757575757576,1.4673991095792045,0.06997043805428649,1.3283228247162675
frozenset({2571}),frozenset({5952}),0.43278688524590164,0.28852459016393445,0.2180327868852459,0.5037878787878788,1.7460829889807161,0.09316312819134641,1.4338130396696285
frozenset({2571}),frozenset({589}),0.43278688524590164,0.3540983606557377,0.2180327868852459,0.5037878787878788,1.4227342873176207,0.06478366030636928,1.3016643724189711
frozenset({356}),frozenset({589}),0.521311475409836,0.3540983606557377,0.26229508196721313,0.5031446540880504,1.4209177731190314,0.07769954313356628,1.2999792488068067
frozenset({318}),"frozenset({296, 593})",0.5131147540983606,0.32131147540983607,0.2573770491803279,0.501597444089457,1.5610940861967793,0.09250739048642842,1.3617276166456496
frozenset({318}),frozenset({2959}),0.5131147540983606,0.34262295081967215,0.2573770491803279,0.501597444089457,1.4639925401654006,0.08157215802203713,1.3189680538041197
frozenset({318}),frozenset({50}),0.5131147540983606,0.3262295081967213,0.2573770491803279,0.501597444089457,1.5375600044953204,0.08998387530233812,1.3518600252206814
frozenset({2571}),"frozenset({1210, 1196})",0.43278688524590164,0.25245901639344265,0.21639344262295082,0.5,1.9805194805194803,0.10713249126578876,1.4950819672131148
frozenset({2571}),"frozenset({356, 2959})",0.43278688524590164,0.24262295081967214,0.21639344262295082,0.5,2.0608108108108105,0.11138941144853534,1.5147540983606558
frozenset({593}),frozenset({457}),0.4426229508196721,0.30491803278688523,0.22131147540983606,0.5,1.6397849462365592,0.08634775597957539,1.3901639344262295
frozenset({2571}),"frozenset({1210, 260})",0.43278688524590164,0.27049180327868855,0.21475409836065573,0.4962121212121212,1.8344811753902661,0.09768879333512495,1.448046345371626
frozenset({356}),frozenset({527}),0.521311475409836,0.34098360655737703,0.2573770491803279,0.49371069182389943,1.4479015481373974,0.07961838215533462,1.3016597087872925
frozenset({296}),frozenset({260}),0.47540983606557374,0.3918032786885246,0.23442622950819672,0.4931034482758621,1.2585485499927862,0.04815909701693094,1.1998438719750195
frozenset({593}),frozenset({1196}),0.4426229508196721,0.3344262295081967,0.21639344262295082,0.48888888888888893,1.4618736383442266,0.06836871808653588,1.3022095509622238
frozenset({593}),frozenset({2959}),0.4426229508196721,0.34262295081967215,0.21639344262295082,0.48888888888888893,1.4269005847953218,0.06474066111260413,1.2861724875267286
frozenset({2571}),frozenset({110}),0.43278688524590164,0.36721311475409835,0.21147540983606558,0.48863636363636365,1.330661525974026,0.052550389680193516,1.2374499089253188
frozenset({593}),frozenset({50}),0.4426229508196721,0.3262295081967213,0.21475409836065573,0.48518518518518516,1.487251070165643,0.07035743079817253,1.30876282580493
frozenset({356}),frozenset({150}),0.521311475409836,0.3081967213114754,0.25245901639344265,0.48427672955974854,1.571323431018333,0.09179252889008335,1.3414234306277493
